"cantonId","codigo","nombre","no_pobres","pobres","total"
"3","10150","CUENCA",252214,72502,324716
"20","20150","GUARANDA",16930,37733,54663
"33","40550","MONTUFAR",9432,11579,21011
"37","50150","LATACUNGA",50183,46455,96638
"52","60150","RIOBAMBA",110247,42900,153147
"49","60750","GUANO",5216,11093,16309
"58","70750","HUAQUILLAS",12500,35343,47843
"62","70950","PASAJE",25703,27003,52706
"72","80750","RIOVERDE",381,4579,4960
"221","80850","LA CONCORDIA",5556,37180,42736
"74","90150","GUAYAQUIL",1192884,1063329,2256213
"103","100150","IBARRA",95006,43165,138171
"102","100350","COTACACHI",7356,9659,17015
"104","100450","OTAVALO",25621,26873,52494
"113","110150","LOJA",113652,63882,177534
"124","120150","BABAHOYO",37246,57910,95156
"157","131350","SANTA ANA DE VUELTA LARGA",5266,16937,22203
"169","141250","TIWINTZA",251,3848,4099
"179","170150","QUITO",1195113,412265,1607378
"189","180150","AMBATO",130272,46266,176538
"127","180158","MONTALVO",1245,2655,3900
"218","220150","PUERTO FRANCISCO DE ORELLANA",13318,30183,43501
