"parroquiaId","codigo","nombre","no_pobres","pobres","total"
"8","10151","BAÑOS",7326,9441,16767
"14","10152","CUMBE",709,4786,5495
"11","10153","CHAUCHA",94,1193,1287
"12","10154","CHECA (JIDCAY)",888,1841,2729
"13","10155","CHIQUINTAD",1750,3052,4802
"19","10156","LLACAO",2169,3157,5326
"21","10157","MOLLETURO",679,6358,7037
"23","10158","NULTI",885,3424,4309
"24","10159","OCTAVIO CORDERO PALACIOS",389,1874,2263
"25","10160","PACCHA",1522,4923,6445
"26","10161","QUINGEO",332,7106,7438
"28","10162","RICAURTE",11113,7946,19059
"31","10163","SAN JOAQUIN",3018,4389,7407
"33","10164","SANTA ANA",974,4375,5349
"34","10165","SAYAUSI",2112,6232,8344
"35","10166","SIDCAY",1017,2920,3937
"36","10167","SININCAY",5936,9791,15727
"38","10168","TARQUI",1650,8805,10455
"40","10169","TURI",3115,5754,8869
"41","10170","VALLE",8861,15322,24183
"42","10171","VICTORIA DEL PORTETE",518,4722,5240
"47","10250","GIRON",3557,4778,8335
"46","10251","ASUNCION",719,2297,3016
"48","10252","SAN GERARDO",271,799,1070
"51","10350","GUALACEO",10318,10825,21143
"50","10352","DANIEL CORDOVA TORAL",284,1417,1701
"52","10353","JADAN",497,3818,4315
"54","10354","MARIANO MORENO",371,2244,2615
"55","10356","REMIGIO CRESPO TORAL",424,984,1408
"56","10357","SAN JUAN",514,4776,5290
"58","10358","ZHIDMAD",227,2507,2734
"53","10359","LUIS CORDERO VEGA",214,1815,2029
"57","10360","SIMON BOLIVAR",157,968,1125
"61","10450","NABON",1390,8099,9489
"59","10451","COCHAPATA",227,2845,3072
"60","10452","EL PROGRESO",95,1916,2011
"62","10453","LAS NIEVES (CHAYA)",218,1062,1280
"70","10550","PAUTE",4847,4883,9730
"65","10552","BULAN",405,1767,2172
"66","10553","CHICAN",936,2641,3577
"68","10554","EL CABO",691,2624,3315
"69","10556","GUARAINAG",127,712,839
"71","10559","SAN CRISTOBAL",184,2209,2393
"72","10561","TOMEBAMBA",98,1243,1341
"67","10562","DUG-DUG",270,1622,1892
"73","10650","PUCARA",753,7405,8158
"74","10652","SAN RAFAEL DE SHARUG",103,1729,1832
"76","10750","SAN FERNANDO",1360,1861,3221
"75","10751","CHUMBLIN",354,395,749
"79","10850","SANTA ISABEL",4600,6904,11504
"77","10851","ABDON CALDERON",1366,3216,4582
"80","10853","ZHAGLLI",148,2007,2155
"90","10950","SIGSIG",3015,8072,11087
"84","10951","CUCHIL",306,1379,1685
"85","10952","GIMA",660,2224,2884
"86","10953","GUEL",441,903,1344
"87","10954","LUDO",124,3241,3365
"88","10955","SAN BARTOLOME",487,3612,4099
"89","10956","SAN JOSE DE RARANGA",340,2007,2347
"63","11050","OÑA",366,2013,2379
"64","11051","SUSUDEL",240,948,1188
"3","11150","CHORDELEG",3197,3545,6742
"6","11151","PRINCIPAL",418,910,1328
"4","11152","LA UNION",356,1540,1896
"5","11153","LUIS GALARZA ORELLANA",116,1378,1494
"7","11154","SAN MARTIN DE PUZHIO",114,935,1049
"44","11250","EL PAN",586,603,1189
"45","11253","SAN VICENTE",556,1267,1823
"83","11350","SEVILLA DE ORO",911,1322,2233
"81","11351","AMALUZA",125,1023,1148
"82","11352","PALMAS",592,1622,2214
"49","11450","GUACHAPALA",1258,2125,3383
"1","11550","CAMILO PONCE ENRIQUEZ",3967,11426,15393
"2","11551","EL CARMEN DE PIJILI",704,3697,4401
"101","20151","FACUNDO VELA",286,3029,3315
"104","20153","JULIO E. MORENO",85,2863,2948
"105","20155","SALINAS",623,5148,5771
"106","20156","SAN LORENZO",137,1716,1853
"108","20157","SAN SIMON (YACOTO)",304,3876,4180
"109","20158","SANTAFE (SANTA FE)",366,1383,1749
"110","20159","SIMIATUG",125,11103,11228
"107","20160","SAN LUIS DE PAMBIL",1252,4090,5342
"92","20250","CHILLANES",2092,11083,13175
"93","20251","SAN JOSE DEL TAMBO",498,3612,4110
"96","20350","SAN JOSE DE CHIMBO",2883,2734,5617
"94","20351","ASUNCION (ASANCOTO)",348,2481,2829
"95","20353","MAGDALENA (CHAPACOTO)",562,2248,2810
"32","20354","SAN SEBASTIAN",171,882,1053
"98","20355","TELIMBELA",96,3155,3251
"99","20450","ECHEANDIA",3962,8093,12055
"116","20550","SAN MIGUEL",5290,7032,12322
"113","20551","BALSAPAMBA",413,2344,2757
"114","20552","BILOVAN",268,2462,2730
"115","20553","REGULO DE MORA",31,911,942
"564","20554","SAN PABLO",547,4923,5470
"119","20555","SANTIAGO",184,1560,1744
"118","20556","SAN VICENTE",87,1050,1137
"91","20650","CALUMA",4661,8378,13039
"112","20750","LAS NAVES",897,5155,6052
"121","30150","AZOGUES",22486,14889,37375
"123","30151","COJITAMBO",1335,2347,3682
"124","30153","GUAPAN",2399,6436,8835
"125","30154","JAVIER LOYOLA",2125,4576,6701
"126","30155","LUIS CORDERO",1623,2219,3842
"127","30156","PINDILIG",253,1850,2103
"128","30157","RIVERA",90,1452,1542
"130","30158","SAN MIGUEL",636,2924,3560
"131","30160","TADAY",340,1277,1617
"132","30250","BIBLIAN",4820,8796,13616
"134","30251","NAZON",280,2283,2563
"135","30252","SAN FRANCISCO DE SAGEO",532,1185,1717
"136","30253","TURUPAMBA",90,981,1071
"133","30254","JERUSALEN",262,1463,1725
"137","30350","CAÑAR",8993,9137,18130
"138","30351","CHONTAMARCA",488,3646,4134
"139","30352","CHOROCOPTE",925,2151,3076
"141","30353","GENERAL MORALES",91,3308,3399
"142","30354","GUALLETURO",496,3345,3841
"143","30355","HONORATO VASQUEZ",1242,4902,6144
"144","30356","INGAPIRCA",687,7631,8318
"145","30357","JUNCAL",189,1980,2169
"146","30358","SAN ANTONIO",385,1509,1894
"148","30361","ZHUD",193,2175,2368
"147","30362","VENTURA",80,1208,1288
"140","30363","DUCUR",508,3497,4005
"152","30450","LA TRONCAL",14365,27964,42329
"153","30451","MANUEL J. CALLE",818,1937,2755
"154","30452","PANCHO NEGRO",652,8319,8971
"151","30550","EL TAMBO",2971,6457,9428
"149","30650","DELEG",1329,3071,4400
"150","30651","SOLANO",199,1459,1658
"155","30750","SUSCAL",772,4175,4947
"189","40150","TULCAN",39507,19672,59179
"180","40151","EL CARMELO (EL PUN)",500,2263,2763
"183","40153","JULIO ANDRADE (OREJUELA)",2768,6809,9577
"184","40154","MALDONADO",167,1502,1669
"185","40155","PIOTER",201,517,718
"187","40156","TOBAR DONOSO (LA BOCANA)",0,839,839
"188","40157","TUFIÑO",506,1828,2334
"190","40158","URBINA (TAYA)",316,1878,2194
"181","40159","EL CHICAL",241,3162,3403
"186","40161","SANTA MARTHA DE CUBA",593,1763,2356
"156","40250","BOLIVAR",1815,3385,5200
"157","40251","GARCIA MORENO",202,1204,1406
"158","40252","LOS ANDES",365,1895,2260
"159","40253","MONTE OLIVO",296,1388,1684
"161","40254","SAN VICENTE DE PUSIR",148,1896,2044
"160","40255","SAN RAFAEL",252,1489,1741
"163","40350","EL ANGEL",2716,3547,6263
"164","40351","EL GOALTAL",52,761,813
"165","40352","LA LIBERTAD (ALIZO)",916,2578,3494
"166","40353","SAN ISIDRO",1132,1574,2706
"170","40450","MIRA (CHONTAHUASI)",2604,3359,5963
"169","40451","CONCEPCION",166,2637,2803
"167","40452","JIJON Y CAAMAÑO",125,1937,2062
"168","40453","JUAN MONTALVO",176,1132,1308
"172","40551","CRISTOBAL COLON",608,2333,2941
"171","40552","CHITAN DE NAVARRETE",186,431,617
"173","40553","FERNANDEZ SALVADOR",154,1128,1282
"175","40554","LA PAZ",590,2839,3429
"176","40555","PIARTAL",275,865,1140
"178","40650","HUACA",2397,3810,6207
"179","40651","MARISCAL SUCRE",322,1049,1371
"197","50151","ALAQUES (ALAQUEZ)",938,4536,5474
"198","50152","BELISARIO QUEVEDO",736,5612,6348
"200","50153","GUAITACAMA (GUAYTACAMA)",2128,6728,8856
"202","50154","JOSEGUANGO BAJO",483,2330,2813
"205","50156","MULALO",971,7122,8093
"196","50157","11 DE NOVIEMBRE (ILINCHI",130,1858,1988
"206","50158","POALO",109,5598,5707
"208","50159","SAN JUAN DE PASTOCALLE",954,10480,11434
"209","50161","TANICUCHI",2145,10641,12786
"210","50162","TOACASO",536,7133,7669
"194","50250","LA MANA",10943,25051,35994
"193","50251","GUASAGANDA",355,3548,3903
"195","50252","PUCAYACU",292,1762,2054
"211","50350","EL CORAZON",886,5612,6498
"212","50351","MORASPUNGO",1273,11070,12343
"213","50352","PINLLOPATA",15,1015,1030
"214","50353","RAMON CAMPAÑA",3,1991,1994
"219","50450","PUJILI",7353,25968,33321
"215","50451","ANGAMARCA",131,5117,5248
"216","50453","GUANGAJE",2,8023,8025
"217","50455","LA VICTORIA",373,2643,3016
"218","50456","PILALO",50,2590,2640
"220","50457","TINGO",303,3737,4040
"221","50458","ZUMBAHUA",243,12354,12597
"227","50550","SAN MIGUEL",11139,20055,31194
"222","50551","ANTONIO JOSE HOLGUIN",625,2006,2631
"223","50552","CUSUBAMBA",190,7007,7197
"224","50553","MULALILLO",792,5587,6379
"225","50554","MULLIQUINDIL (SANTA ANA)",723,6462,7185
"226","50555","PANSALEO",815,2547,3362
"231","50650","SAQUISILI",3634,9736,13370
"228","50651","CANCHAGUA",133,5322,5455
"229","50652","CHANTILIN",142,893,1035
"230","50653","COCHAPAMBA",53,5370,5423
"236","50750","SIGCHOS",840,7066,7906
"232","50751","CHUGCHILAN",54,7733,7787
"233","50752","ISINLIVI",79,3145,3224
"234","50753","LAS PAMPAS",353,1589,1942
"235","50754","PALO QUEMADO",45,982,1027
"282","60151","CACHA",11,3149,3160
"283","60152","CALPI",1036,5383,6419
"284","60153","CUBIJIES",236,2277,2513
"285","60154","FLORES",24,4522,4546
"286","60155","LICAN",1793,6034,7827
"287","60156","LICTO",356,7449,7805
"290","60157","PUNGALA",289,5662,5951
"291","60158","PUNIN",130,5836,5966
"292","60159","QUIMIAG",231,5019,5250
"293","60160","SAN JUAN",1129,6209,7338
"294","60161","SAN LUIS",3292,8616,11908
"238","60250","ALAUSI",3876,5962,9838
"237","60251","ACHUPALLAS",216,10312,10528
"239","60253","GUASUNTOS",306,2071,2377
"240","60254","HUIGRA",346,2003,2349
"241","60255","MULTITUD",143,1938,2081
"242","60256","PISTISHI (NARIZ DEL DIABLO)",13,332,345
"243","60257","PUMALLACTA (PUMAL-LACTA)",43,862,905
"244","60258","SEVILLA",104,699,803
"245","60259","SIBAMBE",245,3620,3865
"246","60260","TIXAN",329,10240,10569
"253","60350","VILLA LA UNION",2523,15941,18464
"254","60351","CAÑI",13,949,962
"255","60352","COLUMBE",380,15474,15854
"256","60353","JUAN DE VELASCO (PANGOR)",45,3847,3892
"257","60354","SANTIAGO DE QUITO",57,5609,5666
"247","60450","CHAMBO",3537,8244,11781
"249","60550","CHUNCHI",2526,4754,7280
"248","60551","CAPZOL",34,865,899
"250","60552","COMPUD",42,836,878
"251","60553","GONZOL",231,1488,1719
"252","60554","LLAGOS",292,1480,1772
"261","60650","GUAMOTE",1663,22942,24605
"260","60651","CEBADAS",208,7988,8196
"262","60652","PALMIRA",148,12149,12297
"264","60751","GUANANDO",24,317,341
"265","60752","ILAPO",83,1579,1662
"267","60753","LA PROVIDENCIA",13,540,553
"268","60754","SAN ANDRES",1953,11500,13453
"269","60755","SAN GERARDO DE PACAICAGUAN",387,2052,2439
"270","60756","SAN ISIDRO DE PATULU",231,4513,4744
"271","60757","SAN JOSE DEL CHAZO",65,972,1037
"272","60758","SANTA FE DE GALAN",136,1533,1669
"273","60759","VALPARAISO",0,404,404
"274","60850","PALLATANGA",1735,9771,11506
"279","60950","PENIPE",732,1222,1954
"276","60951","EL ALTAR",254,1011,1265
"278","60952","MATUS",248,735,983
"280","60953","PUELA",88,534,622
"281","60954","SAN ANTONIO DE BAYUSHIG",320,781,1101
"277","60955","LA CANDELARIA",73,402,475
"275","60956","BILBAO",18,178,196
"259","61050","CUMANDA",3984,8855,12839
"333","70150","MACHALA",104049,134023,238072
"329","70152","EL RETIRO",257,3918,4175
"298","70250","ARENILLAS",7034,13690,20724
"300","70251","CHACRAS",28,1505,1533
"302","70254","PALMALES",303,2936,3239
"299","70255","CARCABON",22,714,736
"306","70350","PACCHA",1168,1107,2275
"303","70351","AYAPAMBA",519,865,1384
"304","70352","CORDONCILLO",365,638,1003
"305","70353","MILAGRO",157,315,472
"177","70354","SAN JOSE",75,290,365
"308","70355","CERRO AZUL",72,216,288
"309","70450","BALSAS",1786,3828,5614
"310","70451","BELLAMARIA",290,923,1213
"311","70550","CHILLA",398,2083,2481
"313","70650","EL GUABO",9545,20167,29712
"312","70651","BARBONES (SUCRE)",986,4667,5653
"314","70652","LA IBERIA",866,2833,3699
"316","70653","TENDALES",228,4796,5024
"315","70654","RIO BONITO",1130,4334,5464
"336","70850","MARCABELI",2424,2705,5129
"335","70851","EL INGENIO",110,142,252
"338","70951","BUENAVISTA",1361,5180,6541
"340","70952","CASACAY",514,1886,2400
"341","70953","LA PEAÑA",837,2746,3583
"344","70954","PROGRESO",681,3285,3966
