id,codigo,nombre,zonaId
1,52795,1F,1
2,52796,1M,1
3,52751,1F,2
4,52768,1M,2
5,52752,2F,2
6,52769,2M,2
7,52753,3F,2
8,52770,3M,2
9,52754,4F,2
10,52771,4M,2
11,52755,5F,2
12,52772,5M,2
13,52756,6F,2
14,52773,6M,2
15,52757,7F,2
16,52774,7M,2
17,52758,8F,2
18,52775,8M,2
19,52759,9F,2
20,52776,9M,2
21,52760,10F,2
22,52777,10M,2
23,52761,11F,2
24,52778,11M,2
25,52762,12F,2
26,52779,12M,2
27,52763,13F,2
28,52780,13M,2
29,52764,14F,2
30,52781,14M,2
31,52765,15F,2
32,52782,15M,2
33,52766,16F,2
34,52783,16M,2
35,52767,17F,2
36,52784,17M,2
37,52785,18M,2
38,52791,1F,3
39,52792,1M,3
40,52797,1F,4
41,52798,1M,4
42,52793,1F,5
43,52794,1M,5
44,52786,1F,6
45,52789,1M,6
46,52787,2F,6
47,52790,2M,6
48,52788,3F,6
49,52747,1F,7
50,52749,1M,7
51,52748,2F,7
52,52750,2M,7
53,52884,1F,8
54,52895,1M,8
55,52885,2F,8
56,52896,2M,8
57,52886,3F,8
58,52897,3M,8
59,52887,4F,8
60,52898,4M,8
61,52888,5F,8
62,52899,5M,8
63,52889,6F,8
64,52900,6M,8
65,52890,7F,8
66,52901,7M,8
67,52891,8F,8
68,52902,8M,8
69,52892,9F,8
70,52903,9M,8
71,52893,10F,8
72,52904,10M,8
73,52894,11F,8
74,52871,1F,9
75,52873,1M,9
76,52872,2F,9
77,52874,2M,9
78,52877,1F,10
79,52879,1M,10
80,52878,2F,10
81,52880,1F,11
82,52882,1M,11
83,52881,2F,11
84,52883,2M,11
85,52875,1F,12
86,52876,1M,12
87,51001,1F,13
88,51034,1M,13
89,51002,2F,13
90,51035,2M,13
91,51003,3F,13
92,51036,3M,13
93,51004,4F,13
94,51037,4M,13
95,51005,5F,13
96,51038,5M,13
97,51006,6F,13
98,51039,6M,13
99,51007,7F,13
100,51040,7M,13
101,51008,8F,13
102,51041,8M,13
103,51009,9F,13
104,51042,9M,13
105,51010,10F,13
106,51043,10M,13
107,51011,11F,13
108,51044,11M,13
109,51012,12F,13
110,51045,12M,13
111,51013,13F,13
112,51046,13M,13
113,51014,14F,13
114,51047,14M,13
115,51015,15F,13
116,51048,15M,13
117,51016,16F,13
118,51049,16M,13
119,51017,17F,13
120,51050,17M,13
121,51018,18F,13
122,51051,18M,13
123,51019,19F,13
124,51052,19M,13
125,51020,20F,13
126,51053,20M,13
127,51021,21F,13
128,51054,21M,13
129,51022,22F,13
130,51055,22M,13
131,51023,23F,13
132,51056,23M,13
133,51024,24F,13
134,51057,24M,13
135,51025,25F,13
136,51058,25M,13
137,51026,26F,13
138,51059,26M,13
139,51027,27F,13
140,51060,27M,13
141,51028,28F,13
142,51061,28M,13
143,51029,29F,13
144,51062,29M,13
145,51030,30F,13
146,51063,30M,13
147,51031,31F,13
148,51032,32F,13
149,51033,33F,13
150,51064,1F,14
151,51065,1M,14
152,51490,1F,15
153,51515,1M,15
154,51491,2F,15
155,51516,2M,15
156,51492,3F,15
157,51517,3M,15
158,51493,4F,15
159,51518,4M,15
160,51494,5F,15
161,51519,5M,15
162,51495,6F,15
163,51520,6M,15
164,51496,7F,15
165,51521,7M,15
166,51497,8F,15
167,51522,8M,15
168,51498,9F,15
169,51523,9M,15
170,51499,10F,15
171,51524,10M,15
172,51500,11F,15
173,51525,11M,15
174,51501,12F,15
175,51526,12M,15
176,51502,13F,15
177,51527,13M,15
178,51503,14F,15
179,51528,14M,15
180,51504,15F,15
181,51529,15M,15
182,51505,16F,15
183,51530,16M,15
184,51506,17F,15
185,51531,17M,15
