id,codigo,nombre,cantonId
1,6875,CAMILO PONCE ENRIQUEZ,1
2,1130,EL CARMEN DE PIJILI,1
3,6435,CHORDELEG,2
4,1535,LA UNION,2
5,1585,LUIS GALARZA O. (DELEGSOL),2
6,2950,PRINCIPAL,2
7,1575,SAN MARTIN DE PUZHIO,2
8,285,BAÑOS,3
9,5075,BELLAVISTA,3
10,5080,CAÑARIBAMBA,3
11,845,CHAUCHA / ANGAS,3
12,860,CHECA JIDCAY,3
13,905,CHIQUINTAD,3
14,730,CUMBE,3
15,5135,EL BATAN,3
16,5330,EL VECINO,3
17,6865,HERMANO MIGUEL,3
18,5450,HUAYNACAPAC,3
19,2255,LLACAO,3
20,5140,MACHANGARA,3
21,2430,MOLLETURO,3
22,5290,MONAY,3
23,2570,MULTI /  NULTI,3
24,2595,OCTAVIO CORDERO PALACIOS,3
25,2680,PACCHA,3
26,3105,QUINGEO,3
27,5875,RAMIREZ DAVALOS,3
28,3165,RICAURTE,3
29,5905,SAGRARIO,3
30,5930,SAN BLAS,3
31,3460,SAN JOAQUIN,3
32,6010,SAN SEBASTIAN,3
33,3685,SANTA ANA,3
34,3795,SAYAUSI,3
35,3850,SIDCAY,3
36,3870,SININCAY,3
37,6090,SUCRE,3
38,3980,TARQUI,3
39,5360,TOTORACOCHA,3
40,4095,TURI,3
41,4200,VALLE,3
42,4225,VICTORIA DEL PORTETE,3
43,5370,YANUNCAY,3
44,6485,EL PAN,4
45,1650,SAN VICENTE,4
46,175,ASUNCION,5
47,5395,GIRON,5
48,885,SAN GERARDO,5
49,6615,GUACHAPALA,6
50,1005,DANIEL CORDOVA TORAL,7
51,5420,GUALACEO,7
52,1805,JADAN,7
53,1760,LUIS CORDERO VEGA,7
54,2385,MARIANO MORENO/CALLASAY,7
55,3160,REMIGIO CRESPO TORAL,7
56,3505,SAN JUAN,7
57,3780,SIMON BOLIVAR,7
58,4340,ZHIDMAD,7
59,575,COCHAPATA,8
60,1175,EL PROGRESO,8
61,6595,NABON,8
62,2550,NIEVES,8
63,6360,OÑA,9
64,1540,SUSUDEL,9
65,395,BULAN / J. VICTOR IZQUIERDO,10
66,870,CHICAN / GUILLERMO ORTEGA,10
67,890,DUG-DUG,10
68,4565,EL CABO,10
69,1455,GUARAINAC,10
70,5775,PAUTE,10
71,3375,SAN CRISTOBAL,10
72,4050,TOMEBAMBA,10
73,5690,PUCARA,11
74,1690,SAN RAFAEL DE SHARUG,11
75,4560,CHUMBLIN,12
76,6565,SAN FERNANDO,12
77,15,ABDON CALDERON / LA UNION,13
78,4610,SAN SALVADOR DE CAÑARIBAMBA,13
79,6045,SANTA ISABEL,13
80,3835,SHAGLLI,13
81,85,AMALUZA,14
82,2725,PALMAS,14
83,6480,SEVILLA DE ORO,14
84,750,CUTCHIL,15
85,1355,GIMA,15
86,1490,GUEL,15
87,2215,LUDO,15
88,3360,SAN BARTOLOME,15
89,3495,SAN JOSE DE RARANGA,15
90,6085,SIGSIG,15
91,6340,CALUMA / SAN ANTONIO/,16
92,5245,CHILLANES,17
93,3500,SAN JOSE DE TAMBO,17
94,170,ASUNCION,18
95,2315,MAGDALENA/CHAPACOTO,18
96,5975,SAN JOSE DE CHIMBO,18
97,3655,SAN SEBASTIAN,18
98,3995,TELIMBELA,18
99,5350,ECHEANDIA,19
100,5035,ANGEL POLIVIO CHAVEZ,20
101,1255,FACUNDO VELA,20
102,5375,GABRIEL I VEINTIMILLA,20
103,6630,GUANUJO,20
104,1890,JULIO E MORENO,20
105,3285,SALINAS,20
106,3545,SAN LORENZO,20
107,795,SAN LUIS DE PAMBIL,20
108,3670,SAN SIMON,20
109,3710,SANTA FE,20
110,3860,SIMIATUG,20
111,6475,LAS MERCEDES,21
112,6470,LAS NAVES,21
113,275,BALZAPAMBA,22
114,345,BILOVAN,22
115,4515,REGULO DE MORA,22
116,5995,SAN MIGUEL,22
117,3595,SAN PABLO DE ATENAS,22
118,3900,SAN VICENTE,22
119,3775,SANTIAGO,22
120,6845,AURELIO BAYAS MARTINEZ,23
121,5065,AZOGUES,23
122,6790,BORRERO,23
123,585,COJITAMBO,23
124,1445,GUAPAN,23
125,1825,JAVIER LOYOLA / CHUQUIPATA,23
126,2220,LUIS CORDERO,23
127,2885,PINDILIG,23
128,3210,RIVERA,23
129,5950,SAN FRANCISCO,23
130,3575,SAN MIGUEL,23
131,3945,TADAY,23
132,5115,BIBLIAN,24
133,1085,JERUSALEN,24
134,2545,NAZON,24
135,3410,SAN FCO. DE SAGEO,24
136,4100,TURUPAMBA,24
137,5160,CAÑAR,25
138,935,CHONTAMARCA,25
139,950,CHOROCOPTE,25
140,1895,DUCUR,25
141,1335,GRAL.MORALES / SOCARTE,25
142,1410,GUALLETURO,25
143,1605,HONORATO VASQUEZ,25
144,1725,INGAPIRCA,25
145,1900,JUNCAL,25
146,3305,SAN ANTONIO,25
147,1775,VENTURA,25
148,4345,ZHUD,25
149,6425,DELEG,26
150,3875,SOLANO,26
151,6345,EL TAMBO,27
152,5610,LA TRONCAL,28
153,2365,MANUEL J. CALLE,28
154,2745,PANCHO NEGRO,28
155,6715,SUSCAL,29
156,6520,BOLIVAR,30
157,1315,GARCIA MORENO,30
158,2205,LOS ANDES,30
159,2455,MONTEOLIVO,30
160,1055,SAN RAFAEL,30
161,3680,SAN VICENTE DE PUSIR,30
162,6250,27 DE SEPTIEMBRE,31
163,5295,EL ANGEL,31
164,1150,EL GOALTAL / LAS JUNTAS,31
165,2040,LA LIBERTAD,31
166,3435,SAN ISIDRO,31
167,1835,JIJON Y CAAMAÑO,32
168,1875,JUAN MONTALVO,32
169,2010,LA CONCEPCION,32
170,5685,MIRA,32
171,910,CHITAN DE NAVARRETES,33
172,690,CRISTOBAL COLON,33
173,1270,FERNANDEZ SALVADOR,33
174,5405,GONZALEZ SUAREZ,33
175,2065,LA PAZ,33
176,250,PIARTAL,33
177,5970,SAN JOSE,33
178,6665,HUACA,34
179,1520,MARISCAL SUCRE,34
180,1125,EL CARMELO/EL PUN/,35
181,1195,EL CHICAL,35
182,5415,GONZALEZ SUAREZ,35
183,1885,JULIO ANDRADE,35
184,2340,MALDONADO,35
185,2900,PIOTER,35
186,1765,SANTA MARTHA DE CUBA,35
187,4040,TOBAR DONOSO,35
188,4070,TUFIÑO,35
189,6165,TULCAN,35
190,4130,URBINA,35
191,6880,EL CARMEN,36
192,6895,EL TRIUNFO,36
193,1500,GUASAGANDA,36
194,6535,LA MANA,36
195,2965,PUCAYACO,36
196,2620,11 DE NOVIEMBRE,37
197,35,ALAQUEZ,37
198,315,BELISARIO QUEVEDO,37
199,5310,ELOY ALFARO / SAN FELIPE,37
200,1485,GUAYTACAMA,37
201,5465,IGNACIO FLORES,37
202,1905,JOSEGUANGO BAJO,37
203,5500,JUAN MONTALVO,37
204,5555,LA MATRIZ,37
205,2480,MULALO,37
206,2920,POALO,37
207,5940,SAN BUENAVENTURA,37
208,3530,SAN JUAN DE PASTOCALLE,37
209,3965,TANICUCHI,37
210,4035,TOACAZO,37
211,5305,EL CORAZON,38
212,2460,MORASPUNGO,38
213,2890,PINLLOPATA,38
214,3155,RAMON CAMPAÑA,38
215,125,ANGAMARCA,39
216,1430,GUANGAJE,39
217,2150,LA VICTORIA,39
218,2865,PILALO,39
219,5820,PUJILI,39
220,4015,TINGO,39
221,4365,ZUMBAHUA,39
222,135,ANTONIO J. HOLGUIN,40
223,745,CUSUBAMBA,40
224,2475,MULALILLO,40
225,2490,MULLIQUINDIL,40
226,2760,PANZALEO,40
227,6000,SAN MIGUEL DE SALCEDO,40
228,465,CANCHAGUA,41
229,830,CHANTILIN,41
