id,cand_1,cand_2,cand_3,cand_4,cand_5,cand_6,cand_7,cand_8,cand_9,cand_10,cand_11,cand_12,cand_13,cand_14,cand_15,cand_16,total_suf,blanco,nulo,juntaId
1,82,0,2,1,0,30,0,1,12,0,0,5,1,1,2,5,163,12,9,1
2,96,7,3,2,0,26,0,0,10,0,0,10,3,1,4,4,190,7,17,2
3,129,4,2,2,0,54,4,1,27,0,0,25,2,2,2,1,291,6,30,3
4,129,3,2,4,0,54,1,4,22,0,1,25,0,1,3,2,285,14,20,4
5,140,0,3,0,1,52,2,0,27,2,1,29,1,0,2,7,304,10,27,5
6,127,1,1,1,0,29,1,2,23,1,1,34,1,2,1,7,275,12,31,6
7,124,0,3,2,0,56,3,1,24,0,3,27,0,0,2,9,299,13,32,7
8,113,6,2,0,0,46,3,0,36,1,2,40,0,1,2,6,288,10,20,8
9,153,3,4,1,2,64,5,0,21,0,1,20,0,2,2,5,316,12,21,9
10,142,0,3,2,1,50,0,2,15,0,1,16,0,1,2,8,280,17,20,10
11,123,1,2,0,0,54,3,2,31,1,0,22,0,2,1,12,296,20,22,11
12,131,5,3,1,0,33,2,1,40,3,1,20,0,2,1,5,280,8,24,12
13,131,2,2,1,0,52,5,1,29,3,2,24,0,1,0,7,304,29,15,13
14,121,3,3,3,1,54,3,1,27,2,2,21,1,1,2,7,290,13,25,14
15,108,0,4,1,0,63,6,0,28,1,0,21,1,4,8,7,293,19,22,15
16,120,3,0,3,1,35,0,1,42,0,0,22,1,0,2,7,273,12,24,16
17,135,2,3,2,0,64,2,0,33,0,1,17,1,1,3,6,293,5,18,17
18,131,2,0,1,0,44,1,1,28,0,0,36,2,1,5,4,284,13,15,18
19,131,1,2,1,0,49,5,0,30,1,0,19,0,2,0,3,306,20,42,19
20,152,3,2,2,1,45,5,1,27,0,1,18,1,1,1,5,289,5,19,20
21,122,2,1,3,0,70,0,1,27,0,0,21,1,0,0,14,301,7,32,21
22,139,1,2,5,1,47,2,1,34,0,0,15,3,0,0,6,292,5,31,22
23,142,4,1,3,0,48,4,1,38,0,1,13,0,4,1,8,304,12,25,23
24,114,2,3,3,0,57,1,3,31,0,1,31,2,0,1,5,287,5,28,24
25,135,4,2,3,0,50,1,0,35,2,1,23,0,0,1,4,295,15,19,25
26,135,2,2,7,1,43,4,1,32,1,1,23,1,0,0,4,285,9,19,26
27,124,0,8,3,1,52,1,0,28,1,0,26,1,2,1,6,291,7,30,27
28,127,1,3,0,0,47,1,1,40,0,2,18,0,3,1,4,280,11,21,28
29,146,2,4,0,2,61,4,1,33,0,1,18,0,0,1,8,315,6,28,29
30,148,3,6,4,1,38,2,0,23,1,0,28,1,0,2,4,292,13,18,30
31,126,2,1,3,0,64,0,0,31,1,0,23,1,2,1,11,313,23,24,31
32,122,3,2,1,1,40,3,3,39,1,1,29,1,1,2,4,280,9,18,32
33,136,2,4,2,2,64,2,0,25,1,0,26,1,4,0,11,306,8,18,33
34,118,3,4,2,0,48,1,1,35,2,3,28,3,1,3,6,288,4,28,34
35,62,0,1,1,0,20,2,0,8,0,0,5,1,1,1,4,127,6,15,35
36,120,0,0,5,2,51,5,2,25,1,1,30,0,4,0,3,280,9,22,36
37,143,3,1,6,0,65,4,2,29,0,1,24,0,2,2,7,320,12,18,37
38,61,3,1,1,0,25,0,1,18,0,0,8,0,2,1,5,136,5,5,38
39,70,2,1,5,0,12,4,0,13,0,0,8,0,1,1,1,130,2,10,39
40,132,4,0,1,2,16,4,0,18,1,0,7,0,0,1,3,223,17,17,40
41,120,7,0,2,0,25,2,1,20,4,0,11,0,0,3,8,232,15,14,41
42,49,0,1,0,0,11,1,0,4,0,0,8,0,0,1,3,95,4,13,42
43,56,2,1,4,0,17,0,1,8,1,0,13,0,0,0,0,116,6,7,43
44,133,3,0,0,1,47,2,0,38,3,0,33,1,1,1,2,321,19,37,44
45,149,6,1,6,0,29,0,0,35,0,0,31,1,2,3,0,304,27,14,45
46,143,3,1,4,0,35,1,1,31,0,0,24,1,0,3,6,305,20,32,46
47,152,1,0,9,0,29,0,3,37,2,1,40,1,1,0,6,321,17,22,47
48,36,0,1,1,0,9,0,0,7,1,0,2,0,1,0,4,76,3,11,48
49,104,8,5,1,1,13,1,1,103,0,3,14,2,4,3,9,305,11,22,49
50,96,7,3,0,1,14,0,0,97,0,2,17,0,2,6,1,286,17,23,50
51,52,3,3,4,0,11,0,0,73,0,0,15,0,0,3,2,194,11,17,51
52,49,4,2,3,0,7,1,2,69,1,2,18,0,0,0,1,184,3,22,52
53,56,3,3,1,0,40,3,0,101,0,1,13,0,2,1,4,270,10,32,53
54,60,3,1,1,0,35,0,1,94,0,0,26,0,0,3,1,261,5,31,54
55,66,3,1,0,0,31,3,0,99,0,0,10,2,0,3,2,266,18,28,55
56,58,1,2,0,0,32,2,0,113,2,0,19,0,1,1,1,253,2,19,56
57,56,0,2,1,1,35,1,0,110,0,1,30,1,1,1,2,284,4,38,57
58,54,2,0,2,0,41,2,1,91,0,1,24,1,3,0,3,251,8,18,58
59,57,0,2,2,0,64,4,0,92,1,1,25,1,2,0,2,285,15,17,59
60,67,1,3,1,2,40,2,0,77,0,1,36,0,0,1,1,256,6,18,60
61,75,1,1,1,0,34,5,1,88,0,0,18,0,2,0,3,268,11,28,61
62,58,1,3,0,0,43,4,1,100,0,0,28,1,1,0,0,264,7,17,62
63,72,1,0,1,0,37,5,0,96,0,1,18,0,1,2,0,274,10,30,63
64,52,0,0,1,1,53,2,2,83,0,0,36,0,1,0,1,260,11,17,64
65,56,0,1,0,0,50,3,1,95,1,0,27,0,0,2,1,279,11,31,65
66,71,3,2,0,0,47,1,1,101,0,0,19,0,1,0,1,275,10,18,66
67,51,0,3,3,0,51,4,2,98,0,1,16,0,5,3,2,277,8,30,67
68,60,1,0,0,0,55,3,1,94,1,1,11,0,0,1,1,254,4,21,68
69,52,1,2,0,0,62,0,0,102,0,0,3,0,3,0,2,267,11,29,69
70,46,0,1,0,0,48,4,1,95,2,0,34,0,2,0,1,262,5,23,70
71,58,1,2,0,1,49,2,0,99,1,1,16,0,0,0,3,268,10,25,71
72,28,0,0,0,0,21,1,1,33,0,0,10,0,1,0,1,103,2,5,72
73,44,0,1,0,0,34,3,0,60,0,0,14,0,1,4,0,180,3,16,73
74,58,2,0,1,0,22,4,0,158,0,2,7,0,0,2,2,308,13,37,74
75,60,1,1,2,1,18,3,0,123,0,0,10,0,0,3,2,254,8,21,75
76,26,0,0,1,0,8,3,0,49,1,0,2,2,1,0,1,117,6,17,76
77,12,0,0,1,0,6,0,0,31,0,0,4,0,0,2,1,64,2,5,77
78,82,2,1,0,0,17,1,0,118,2,1,2,1,2,1,3,295,23,39,78
79,76,5,0,1,2,15,1,2,109,0,1,4,0,0,2,2,254,12,22,79
80,38,0,0,0,0,8,1,1,53,1,0,2,1,1,0,2,139,12,19,80
81,69,0,1,0,0,32,3,1,110,1,1,6,0,0,2,9,286,13,38,81
82,62,2,0,0,1,27,5,3,103,1,0,4,0,0,1,2,256,14,31,82
83,69,0,0,1,0,18,1,0,82,0,1,2,0,0,0,5,230,17,33,83
84,35,1,0,0,0,11,0,1,39,0,0,4,1,2,0,2,118,4,18,84
85,28,3,0,0,1,38,2,0,179,2,0,6,1,0,0,3,306,8,35,85
86,28,6,0,0,1,20,0,2,100,1,0,5,0,1,1,1,193,9,18,86
87,43,0,1,1,0,44,11,0,127,0,1,27,1,2,0,2,290,1,29,87
88,46,0,2,1,0,41,5,5,104,0,1,33,0,1,1,0,259,1,18,88
89,47,0,2,0,0,39,10,1,121,0,1,20,1,0,1,0,284,3,38,89
90,51,1,1,5,0,38,2,0,119,1,0,26,0,0,0,0,267,6,17,90
91,43,1,3,0,0,28,16,5,104,0,1,21,0,2,1,3,273,10,35,91
92,46,0,4,3,0,29,5,0,134,0,2,18,1,0,3,1,265,7,12,92
93,49,0,2,1,0,44,10,2,104,5,0,27,0,1,0,2,273,2,24,93
94,46,2,1,1,0,53,9,1,107,1,0,39,0,2,0,0,283,1,20,94
95,59,1,5,1,0,31,12,1,121,2,1,16,3,2,2,3,282,5,17,95
96,55,1,3,0,0,42,11,1,111,0,0,21,1,0,0,2,271,3,20,96
97,46,1,4,1,1,41,14,0,107,1,0,29,1,1,1,3,282,2,30,97
98,46,0,1,1,2,44,5,1,89,1,0,46,0,0,3,0,261,11,11,98
99,49,1,1,0,0,54,12,0,97,0,1,22,1,0,0,3,266,10,15,99
100,49,1,1,0,0,49,9,0,100,0,0,19,0,1,3,5,260,5,18,100
101,52,1,2,1,0,32,10,1,113,4,0,27,1,1,0,2,283,9,27,101
102,54,4,1,3,0,35,9,1,107,0,0,22,0,0,1,1,260,4,18,102
103,56,2,2,0,0,44,16,2,100,1,0,14,0,0,1,6,281,2,35,103
